date,project,downloads
2023-11-14,prophet,89129
2023-11-15,pandas,5630910
2023-11-15,prophet,80708
2023-11-16,pandas,5770694
2023-11-16,prophet,83443
2023-11-17,pandas,5393140
2023-11-17,prophet,71279
2023-11-18,pandas,3636372
2023-11-18,prophet,45280
2023-11-19,pandas,3413472
2023-11-19,prophet,48829
2023-11-20,pandas,5377208
2023-11-20,prophet,84242
2023-11-21,pandas,5669970
2023-11-21,prophet,74945
2023-11-22,pandas,5432360
2023-11-22,prophet,73538
2023-11-23,pandas,4907920
2023-11-23,prophet,66945
2023-11-24,pandas,4601945
2023-11-24,prophet,64727
2023-11-25,pandas,3448914
2023-11-25,prophet,44638
2023-11-26,pandas,3460164
2023-11-26,prophet,44983
2023-11-27,pandas,5291403
2023-11-27,prophet,84489
2023-11-28,pandas,5648448
2023-11-28,prophet,74586
2023-11-29,pandas,5850148
2023-11-29,prophet,74420
2023-11-30,pandas,5852001
2023-11-30,prophet,81310
2023-12-01,pandas,5783947
2023-12-01,prophet,78067
2023-12-02,pandas,4174530
2023-12-02,prophet,43684
2023-12-03,pandas,3637445
2023-12-03,prophet,49969
2023-12-04,pandas,5698745
2023-12-04,prophet,88815
2023-12-05,pandas,5960292
2023-12-05,prophet,92635
2023-12-06,pandas,5821611
2023-12-06,prophet,78345
2023-12-07,pandas,5798781
2023-12-07,prophet,88761
2023-12-08,pandas,5502501
2023-12-08,prophet,77881
2023-12-09,pandas,3965940
2023-12-09,prophet,44818
2023-12-10,pandas,3789103
2023-12-10,prophet,43826
2023-12-11,pandas,5772465
2023-12-11,prophet,84567
2023-12-12,pandas,6080740
2023-12-12,prophet,97961
2023-12-13,pandas,6034364
2023-12-13,prophet,89103
2023-12-14,pandas,5891642
2023-12-14,prophet,75637
2023-12-15,pandas,5513839
2023-12-15,prophet,75681
2023-12-16,pandas,3754690
2023-12-16,prophet,47207
2023-12-17,pandas,3824393
2023-12-17,prophet,47672
2023-12-18,pandas,5693198
2023-12-18,prophet,73483
2023-12-19,pandas,5955142
2023-12-19,prophet,78304
2023-12-20,pandas,5942303
2023-12-20,prophet,78773
2023-12-21,pandas,5689694
2023-12-21,prophet,72122
2023-12-22,pandas,4939714
2023-12-22,prophet,58319
2023-12-23,pandas,3747429
2023-12-23,prophet,40530
2023-12-24,pandas,3615040
2023-12-24,prophet,43210
2023-12-25,pandas,3856162
2023-12-25,prophet,46924
2023-12-26,pandas,4279172
2023-12-26,prophet,51183
2023-12-27,pandas,4684623
2023-12-27,prophet,58649
2023-12-28,pandas,4641564
2023-12-28,prophet,59330
2023-12-29,pandas,4436844
2023-12-29,prophet,56813
2023-12-30,pandas,3610793
2023-12-30,prophet,41445
2023-12-31,pandas,3456843
2023-12-31,prophet,46752
2024-01-01,pandas,3946363
2024-01-01,prophet,54022
2024-01-02,pandas,5021754
2024-01-02,prophet,67894
2024-01-03,pandas,5546986
2024-01-03,prophet,72019
2024-01-04,pandas,5714174
2024-01-04,prophet,70391
2024-01-05,pandas,5555258
2024-01-05,prophet,68696
2024-01-06,pandas,3856590
2024-01-06,prophet,44177
2024-01-07,pandas,3678403
2024-01-07,prophet,50925
2024-01-08,pandas,5737988
2024-01-08,prophet,81451
2024-01-09,pandas,5905601
2024-01-09,prophet,88793
2024-01-10,pandas,6043391
2024-01-10,prophet,73428
2024-01-11,pandas,6253534
2024-01-11,prophet,76946
2024-01-12,pandas,5786893
2024-01-12,prophet,75621
2024-01-13,pandas,3964320
